Datetime,TASK,TIME_LIMIT,STATUS
2020-11-10 21:10:51,its time to tell tofure about the A Dee H D app,1,COMPLEATE
2020-11-10 21:14:00,get out of bed you worthless shit or ill kill you ,1,COMPLEATE
2020-11-10 22:24:25,write on on P W,10,COMPLEATE
2020-11-10 22:24:25,plan next activation function,10,COMPLEATE
2020-11-10 22:57:29,buid actvtion function on hyln,10,COMPLEATE
2020-11-10 22:57:29,MAKE IT TALK,10,COMPLEATE
2020-11-11 15:06:57,open deep learning notebook,3,COMPLEATE
2020-11-11 15:06:57,take coniditional strat function,6,COMPLEATE
2020-11-11 15:06:57,apply atr strats to signals,10,COMPLEATE
2020-11-11 16:01:17,PLAN BEEM STRAT TESTER,10,COMPLEATE
2020-11-11 16:10:27,P,6,COMPLEATE
2020-11-11 16:55:28,WRITE ALL THE THINGS TO DO,10,COMPLEATE
2020-11-11 17:01:47,finish planning,6,COMPLEATE
2020-11-11 17:12:08,almost done planning,10,COMPLEATE
2020-11-11 19:02:15,send kat link to drive,3,COMPLEATE
2020-11-11 19:02:15,whats chill,2,COMPLEATE
2020-11-11 19:02:15,respond to who ,2,COMPLEATE
2020-11-11 19:02:15,put smak into a function,6,COMPLEATE
2020-11-11 19:02:15,write a doc string with an example for input and output,6,COMPLEATE
2020-11-11 19:02:15,open plotly example plots,3,COMPLEATE
2020-11-11 19:02:15,make a candel stick chart ,10,COMPLEATE
2020-11-11 19:02:15,make a function that compiles stategys into fastuant format,6,COMPLEATE
2020-11-11 19:02:15,doc string it,6,COMPLEATE
2020-11-11 19:02:15,add the targets function,10,COMPLEATE
2020-11-11 19:02:15,mix them together in a backtest sample,10,COMPLEATE
2020-11-11 19:02:15,map out each item that can be a loop,6,COMPLEATE
2020-11-11 19:02:15,plumb how mixing all these backtests together is going to work,10,COMPLEATE
2020-11-11 19:29:22,work on strat,90,COMPLEATE
2020-11-11 19:29:22,routine,60,COMPLEATE
2020-11-11 19:29:22,plan departure,10,COMPLEATE
2020-11-11 21:36:14,SAVING THE LIST,5,COMPLEATE
2020-11-11 21:36:14,CREATE README FILES FOR BOTH PROGRAMS,5,COMPLEATE
2020-11-11 21:36:14,FOOD,5,COMPLEATE
2020-11-11 21:36:14,PHIL DEFRANCO,5,COMPLEATE
2020-11-11 21:36:14,email lee,5,COMPLEATE
2020-11-11 21:36:14,look for financial sentiment bag of words,10,COMPLEATE
2020-11-11 21:36:14, look for stt with vosk,10,COMPLEATE
2020-11-11 21:36:14,write out a quick routine for under 30min,5,COMPLEATE
2020-11-11 21:36:14,routine,30,COMPLEATE
2020-11-11 21:39:06,take dishes down,3,COMPLEATE
2020-11-11 21:39:06,music,6,COMPLEATE
2020-11-11 21:39:06,meditae,6,COMPLEATE
2020-11-11 21:39:06,situps,3,COMPLEATE
2020-11-11 21:39:06,byt,6,COMPLEATE
2020-11-11 21:39:06,vit,2,COMPLEATE
2020-11-11 21:39:06,gratitude jorn,6,COMPLEATE
2020-11-11 22:53:28,write list,10,COMPLEATE
2020-11-11 23:35:27,make tracer dots,10,COMPLEATE
2020-11-11 23:35:27,plot all moving averages,10,COMPLEATE
2020-11-11 23:35:27,fill tracker tracer,10,COMPLEATE
2020-11-11 23:35:27,add to output function,10,COMPLEATE
2020-11-12 00:04:16,find example of filling plot to x,5,COMPLEATE
2020-11-12 00:04:16,add the fill function,7,COMPLEATE
2020-11-12 00:04:16,try to turn it into a function and or script,10,COMPLEATE
2020-11-12 00:04:16,plan next,5,COMPLEATE
2020-11-12 01:02:59,metal,6,COMPLEATE
2020-11-12 01:02:59,backend,6,COMPLEATE
2020-11-12 01:15:40,start new notebook ,6,COMPLEATE
2020-11-12 01:15:40,try to get it plotting,6,COMPLEATE
2020-11-12 03:55:35,put load data in backend,10,COMPLEATE
2020-11-12 03:55:35,put backtester in function and in backend,10,COMPLEATE
2020-11-12 03:55:35,make a results function,10,COMPLEATE
2020-11-12 03:55:35,set up a loop,10,COMPLEATE
2020-11-12 04:31:59,SAVE THE WAY TO RESULTS,10,COMPLEATE
2020-11-12 04:31:59,MAKE THE SCRIPT WORK,10,COMPLEATE
2020-11-12 04:31:59,RUN IT,1,COMPLEATE
2020-11-12 09:54:31,alarm,230,COMPLEATE
2020-11-12 13:27:10,shend mom vid,3,COMPLEATE
2020-11-12 13:27:10,load up moring report,5,COMPLEATE
2020-11-12 14:17:53,look into why dropzone is not loading new tweets,20,COMPLEATE
2020-11-12 15:34:51,make a food and start tea,5,COMPLEATE
2020-11-12 15:34:51,eat food,20,COMPLEATE
2020-11-12 15:34:51,plan your next moves on the loops,10,COMPLEATE
2020-11-12 15:54:04,coffeenate,13,COMPLEATE
2020-11-12 16:17:38,pull notebook,3,COMPLEATE
2020-11-12 16:17:38,grids,10,COMPLEATE
2020-11-12 16:17:38,plan next moves,7,COMPLEATE
2020-11-12 16:41:13,atr plot,10,COMPLEATE
2020-11-12 16:41:13,map out atr strat,10,COMPLEATE
2020-11-12 17:22:31,a t r target hit ,6,COMPLEATE
2020-11-12 17:22:31,atr ouput,6,COMPLEATE
2020-11-12 17:22:31,put it in a function,6,COMPLEATE
2020-11-12 17:22:31,put function in a back test,6,COMPLEATE
2020-11-12 17:22:31,build combined exits version,12,COMPLEATE
2020-11-12 18:20:00,look over the math,10,COMPLEATE
2020-11-12 18:20:00,add capital plot,10,COMPLEATE
2020-11-12 18:20:00,combine entry and exits function,10,COMPLEATE
2020-11-12 18:20:00,clean it up ,10,COMPLEATE
2020-11-12 18:20:00,start working on the plumbing,15,COMPLEATE
2020-11-12 20:41:27,atr function from the back end,10,COMPLEATE
2020-11-12 20:41:27,make a plot atr function,10,COMPLEATE
2020-11-12 20:41:27,make custom strat example,10,COMPLEATE
2020-11-12 20:41:27,demonstrate mixing differnt plots together,10,COMPLEATE
2020-11-12 21:31:09,make the mixed paramaters a strat,10,COMPLEATE
2020-11-12 21:31:09,revert strat example back to one factor,5,COMPLEATE
2020-11-12 21:31:09,set up loop example and run it 10,10,COMPLEATE
2020-11-13 01:29:09,finish plan,5,COMPLEATE
2020-11-13 01:29:09,adjust notebook so it doesnt plot,5,COMPLEATE
2020-11-13 01:29:09,add batch time,5,COMPLEATE
2020-11-13 01:29:09,add iteration time,5,COMPLEATE
2020-11-13 01:29:09,create archive protocall,10,COMPLEATE
2020-11-13 01:29:09,create grid saving protocall,10,COMPLEATE
2020-11-13 01:29:09,put loop into a function,7,COMPLEATE
2020-11-13 02:11:24,finish grid saveing,10,COMPLEATE
2020-11-13 02:11:24,make archive function,10,COMPLEATE
2020-11-13 02:11:24,put loop in a function ,10,COMPLEATE
2020-11-13 02:11:24,give loop a dictionary that iterates through to add the params to archive,10,COMPLEATE
2020-11-13 04:36:04,set up,5,COMPLEATE
2020-11-13 04:36:04,new notebook,5,COMPLEATE
2020-11-13 04:36:04,put the things in functions,15,COMPLEATE
2020-11-13 04:51:30,work out the kinks,15,COMPLEATE
2020-11-13 07:30:08,tracker for when fast goes below the first time,6,COMPLEATE
2020-11-13 07:30:08,first buy trigger,6,COMPLEATE
2020-11-13 07:30:08,trigger atr target,10,COMPLEATE
2020-11-13 07:30:08,first corner after,6,COMPLEATE
2020-11-13 07:30:08,when it hits sma,10,COMPLEATE
2020-11-13 07:30:08,r s i buys ,10,COMPLEATE
2020-11-13 07:30:08,when delta is above a thresh hold,10,COMPLEATE
2020-11-13 07:30:08,turn the motherfucker into a loop,10,COMPLEATE
2020-11-13 10:49:36,write report,5,COMPLEATE
